player,color,moves,total_sac,file_name
Alekhine,Black,60,1,Foltys-Jan_vs_Alekhine-Alexander-A_1941.__.__.pgn
Alekhine,White,83,15.5,Alekhine-Alexander-A_vs_Erdelyi-Stefan_1931.__.__.pgn
Alekhine,Black,130,5,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1934.__.__ (10).pgn
Alekhine,Black,93,1,Foltys-Jan_vs_Alekhine-Alexander-A_1943.__.__ (1).pgn
Alekhine,White,54,1,Alekhine-Alexander-A_vs_Cherta-Pedro_1935.__.__.pgn
Alekhine,White,89,16,Alekhine-Alexander-A_vs_Petrov-Vladimir-M_1935.__.__.pgn
Alekhine,White,131,7,Alekhine-Alexander-A_vs_Vidmar-Milan-Sr_1931.__.__.pgn
Alekhine,Black,88,4.5,Araiza-Munoz-Jose-Joaquin_vs_Alekhine-Alexander-A_1932.__.__ (1).pgn
Alekhine,White,40,3.5,Alekhine-Alexander-A_vs_Zubakin-Nikolay-Yefimovich_1902.__.__.pgn
Alekhine,White,56,0,Alekhine-Alexander-A_vs_Pelisek_1943.__.__.pgn
Alekhine,White,67,0,Alekhine-Alexander-A_vs_Te-Kolste-Jan-Willem_1913.__.__.pgn
Alekhine,White,120,9.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (5).pgn
Alekhine,White,82,4.5,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1941.__.__ (1).pgn
Alekhine,Black,46,7,Gajdukevic-S-V_vs_Alekhine-Alexander-A_1907.__.__ (1).pgn
Alekhine,Black,103,8.5,Schmidt-Paul-F_vs_Alekhine-Alexander-A_1942.__.__.pgn
Alekhine,Black,60,4.5,Euwe-Max_vs_Alekhine-Alexander-A_1937.__.__ (11).pgn
Alekhine,Black,56,1,Christoffersen-H_vs_Alekhine-Alexander-A_1931.__.__.pgn
Alekhine,White,95,15.5,Alekhine-Alexander-A_vs_Thomas-George-A_1936.__.__.pgn
Alekhine,White,65,3.5,Alekhine-Alexander-A_vs_Rohacek-Ivan-V_1941.__.__.pgn
Alekhine,White,79,4.5,Alekhine-Alexander-A_vs_Pomar_1945.__.__.pgn
Alekhine,Black,71,2.5,Euwe-Max_vs_Alekhine-Alexander-A_1935.__.__ (3).pgn
Alekhine,Black,92,3.5,Dietze-M_vs_Alekhine-Alexander-A_1943.__.__.pgn
Alekhine,Black,47,7,Hawdon-W-D_vs_Alekhine-Alexander-A_1926.__.__.pgn
Alekhine,White,149,13.5,Alekhine-Alexander-A_vs_Prokes-Ladislav_1922.__.__.pgn
Alekhine,Black,66,0,Maroczy-Geza_vs_Alekhine-Alexander-A_1921.__.__.pgn
Alekhine,Black,90,5.5,Andriyashev-A_vs_Alekhine-Alexander-A_1905.__.__.pgn
Alekhine,White,118,5,Alekhine-Alexander-A_vs_Svabensky-Mojmir_1943.__.__.pgn
Alekhine,Black,56,7,Rubinstein-Akiba-K_vs_Alekhine-Alexander-A_1914.__.__.pgn
Alekhine,White,107,1,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1934.__.__ (8).pgn
Alekhine,Black,76,17.5,Larsen-Per_vs_Alekhine-Alexander-A_1930.__.__.pgn
Alekhine,Black,131,2,Bernstein-Osip_vs_Alekhine-Alexander-A_1933.__.__.pgn
Alekhine,White,166,11,Alekhine-Alexander-A_vs_Stahlberg-Gideon_1939.__.__.pgn
Alekhine,Black,24,3.5,Klassen-A_vs_Alekhine-Alexander-A_1903.__.__.pgn
Alekhine,White,75,13.5,Alekhine-Alexander-A_vs_Rico-Antonio_1944.__.__.pgn
Alekhine,Black,64,2.5,Shulga-A_vs_Alekhine-Alexander-A_1909.__.__.pgn
Alekhine,Black,76,6.5,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1929.__.__ (11).pgn
Alekhine,Black,71,10,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (1).pgn
Alekhine,Black,118,18,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (10).pgn
Alekhine,Black,42,0,N-N_vs_Alekhine-Alexander-A_1907.__.__.pgn
Alekhine,White,77,4.5,Alekhine-Alexander-A_vs_Almirall_1935.__.__.pgn
Alekhine,Black,54,4.5,Capablanca-Jose-Raul_vs_Alekhine-Alexander-A_1927.__.__ (8).pgn
Alekhine,White,111,10,Alekhine-Alexander-A_vs_Bogoljubow-Efim-D_1937.__.__.pgn
Alekhine,Black,72,15,Viakhirev_vs_Alekhine-Alexander-A_1927.__.__.pgn
Alekhine,Black,116,2,Grau-Roberto_vs_Alekhine-Alexander-A_1938.__.__.pgn
Alekhine,White,90,4.5,Alekhine-Alexander-A_vs_Bacinsky_1938.__.__.pgn
Alekhine,White,129,10,Alekhine-Alexander-A_vs_Schmidt-Paul-F_1943.__.__.pgn
Alekhine,White,59,10,Alekhine-Alexander-A_vs_Stahlberg-Gideon_1933.__.__.pgn
Alekhine,White,113,6,Alekhine-Alexander-A_vs_Cohn-Erich_1912.__.__.pgn
Alekhine,White,56,0,Alekhine-Alexander-A_vs_Mulder-Bart-Piet_1933.__.__.pgn
Alekhine,White,96,10.5,Alekhine-Alexander-A_vs_Leonhardt-Paul_1911.__.__.pgn
Alekhine,Black,36,19.5,Tartakower-Savielly_vs_Alekhine-Alexander-A_1931.__.__ (1).pgn
Alekhine,White,88,4.5,Alekhine-Alexander-A_vs_Treybal-Karel_1923.__.__.pgn
Alekhine,White,44,0,Alekhine-Alexander-A_vs_Oskam_1933.__.__.pgn
Alekhine,Black,74,3.5,Rotlewi-Georg_vs_Alekhine-Alexander-A_1909.__.__.pgn
Alekhine,Black,83,8.5,Euwe-Max_vs_Alekhine-Alexander-A_1927.__.__.pgn
Alekhine,White,81,3.5,Alekhine-Alexander-A_vs_Capablanca-Jose-Raul_1927.__.__.pgn
Alekhine,White,38,0,Alekhine-Alexander-A_vs_Capablanca-Jose-Raul_1927.__.__ (4).pgn
Alekhine,White,133,6.5,Alekhine-Alexander-A_vs_Castillo-Larenas-Mariano_1939.__.__.pgn
Alekhine,White,75,4.5,Alekhine-Alexander-A_vs_Lazard-Frederic_1933.__.__.pgn
Alekhine,White,35,3.5,Alekhine-Alexander-A_vs_Feldt_1916.__.__.pgn
Alekhine,Black,80,6,Tarrasch-Siegbert_vs_Alekhine-Alexander-A_1922.__.__.pgn
Alekhine,Black,97,0,Euwe-Max_vs_Alekhine-Alexander-A_1937.__.__ (13).pgn
Alekhine,Black,59,1,Bogoljubow-Efim-D_vs_Alekhine-Alexander-A_1942.__.__ (2).pgn
Alekhine,Black,149,17,Skalicka-Karel_vs_Alekhine-Alexander-A_1936.__.__.pgn
Alekhine,White,90,12,Alekhine-Alexander-A_vs_Euwe-Max_1935.__.__ (7).pgn
Alekhine,White,105,1,Alekhine-Alexander-A_vs_Lasker-Edward_1924.__.__.pgn
Alekhine,Black,84,8.5,Clotas_vs_Alekhine-Alexander-A_1945.__.__.pgn
Alekhine,White,80,3.5,Alekhine-Alexander-A_vs_Nimzowitsch-Aaron_1927.__.__ (1).pgn
Alekhine,Black,31,7,Euwe-Max_vs_Alekhine-Alexander-A_1935.__.__ (10).pgn
Alekhine,White,35,0,Alekhine-Alexander-A_vs_Tartakower-Savielly_1922.__.__ (2).pgn
Alekhine,Black,68,10,Mieses-Jacques_vs_Alekhine-Alexander-A_1925.__.__.pgn
Alekhine,White,51,0,Alekhine-Alexander-A_vs_Brunner-Erich_1932.__.__.pgn
Alekhine,White,81,10.5,Alekhine-Alexander-A_vs_Schmidt-Paul-F_1941.__.__.pgn
Alekhine,Black,62,1,Ahues-Carl-O_vs_Alekhine-Alexander-A_1936.__.__.pgn
Alekhine,Black,62,3.5,Mekensi_vs_Alekhine-Alexander-A_1926.__.__.pgn
Alekhine,White,87,6,Alekhine-Alexander-A_vs_Salas_1943.__.__.pgn
Alekhine,White,41,3.5,Alekhine-Alexander-A_vs_De-Las-Clotas-M_1945.__.__.pgn
Alekhine,White,66,3.5,Alekhine-Alexander-A_vs_Hutcheson-Stirling-M_1923.__.__.pgn
